"","fips","age_5yr_group","race","year","count","pop_denom"
"1","02201",0,"H","2006",1,NA
"2","02201",0,"NHAIAN","2002",1,NA
"3","02201",0,"NHAIAN","2004",1,NA
"4","02201",0,"NHAIAN","2006",1,NA
"5","02201",0,"NHAIAN","2007",1,NA
"6","02201",15,"NHAIAN","2000",1,NA
"7","02201",15,"NHAIAN","2002",1,NA
"8","02201",15,"NHAIAN","2005",1,NA
"9","02201",15,"NHAIAN","2007",1,NA
"10","02201",15,"NHAIAN","2009",1,NA
"11","02201",15,"NHW","2010",1,NA
"12","02201",20,"NHAIAN","2000",1,NA
"13","02201",20,"NHAIAN","2010",1,NA
"14","02201",20,"NHW","2002",1,NA
"15","02201",20,"NHW","2009",1,NA
"16","02201",25,"NHAIAN","2002",1,NA
"17","02201",25,"NHAIAN","2004",1,NA
"18","02201",25,"NHAIAN","2010",1,NA
"19","02201",25,"NHAIAN","2011",2,NA
"20","02201",25,"NHW","2006",1,NA
"21","02201",25,"NHW","2008",2,NA
"22","02201",25,"NHW","2012",1,NA
"23","02201",30,"NHAIAN","2008",1,NA
"24","02201",30,"NHAIAN","2010",1,NA
"25","02201",30,"NHAIAN","2011",1,NA
"26","02201",30,"NHAIAN","2012",1,NA
"27","02201",30,"NHW","2001",1,NA
"28","02201",30,"NHW","2008",1,NA
"29","02201",35,"NHAIAN","2002",1,NA
"30","02201",35,"NHW","2000",2,NA
"31","02201",35,"NHW","2011",1,NA
"32","02201",35,"NHW","2012",1,NA
"33","02201",40,"NHAIAN","2000",1,NA
"34","02201",40,"NHAIAN","2005",1,NA
"35","02201",40,"NHAIAN","2010",1,NA
"36","02201",40,"NHAIAN","2011",1,NA
"37","02201",40,"NHW","2000",1,NA
"38","02201",40,"NHW","2002",1,NA
"39","02201",40,"NHW","2004",2,NA
"40","02201",40,"NHW","2006",1,NA
"41","02201",40,"NHW","2009",1,NA
"42","02201",40,"NHW","2012",1,NA
"43","02201",45,"NHAIAN","2000",1,NA
"44","02201",45,"NHAIAN","2001",1,NA
